Global Stream Statistics Counters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxPortName,Port 0/0/5,Port 0/0/2,Port 0/0/3,Port 0/0/4,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/0/4,Port 0/0/0,Port 0/0/5,Port 0/0/4,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/0/4,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/0/0,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/0,Port 0/4/1,Port 0/0/4,Port 0/4/2,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/0/4,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/0/4,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/0/4,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/0/4,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/4,Port 0/4/2,Port 0/0/4,Port 0/4/5,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/4,Port 0/4/2,Port 0/0/4,Port 0/4/5,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/4,Port 0/4/2,Port 0/0/4,Port 0/4/5,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/4,Port 0/4/2,Port 0/0/4,Port 0/4/5,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/4,Port 0/4/5,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/4,Port 0/4/2,Port 0/4/5,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/2,Port 0/4/5,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/4,Port 0/4/2,Port 0/4/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  StreamId,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxPortName,Port 0/0/0,Port 0/0/0,Port 0/0/0,Port 0/0/0,Port 0/0/1,Port 0/0/1,Port 0/0/1,Port 0/0/1,Port 0/0/2,Port 0/0/2,Port 0/0/2,Port 0/0/3,Port 0/0/3,Port 0/0/3,Port 0/0/3,Port 0/0/4,Port 0/0/4,Port 0/0/4,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/2/0,Port 0/2/0,Port 0/2/0,Port 0/2/0,Port 0/2/1,Port 0/2/1,Port 0/2/1,Port 0/2/1,Port 0/2/2,Port 0/2/2,Port 0/2/2,Port 0/2/2,Port 0/2/3,Port 0/2/3,Port 0/2/3,Port 0/2/3,Port 0/2/4,Port 0/2/4,Port 0/2/4,Port 0/2/4,Port 0/2/4,Port 0/2/4,Port 0/2/4,Port 0/2/4,Port 0/2/5,Port 0/2/5,Port 0/2/5,Port 0/2/5,Port 0/2/5,Port 0/2/5,Port 0/2/5,Port 0/2/5,Port 0/4/0,Port 0/4/0,Port 0/4/0,Port 0/4/0,Port 0/4/0,Port 0/4/0,Port 0/4/0,Port 0/4/0,Port 0/4/1,Port 0/4/1,Port 0/4/1,Port 0/4/1,Port 0/4/1,Port 0/4/1,Port 0/4/1,Port 0/4/1,Port 0/4/2,Port 0/4/2,Port 0/4/2,Port 0/4/2,Port 0/4/2,Port 0/4/2,Port 0/4/3,Port 0/4/3,Port 0/4/3,Port 0/4/3,Port 0/4/3,Port 0/4/3,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/5,Port 0/4/5,Port 0/4/5,Port 0/4/5,Port 0/4/5,Port 0/4/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TidValueString,1,2,3,11,0,1,2,11,0,1,11,0,1,2,11,0,1,2,0,2,4,6,7,8,10,11,14,0,1,2,11,0,1,2,11,0,1,2,11,0,1,2,11,0,1,2,5,9,11,12,13,0,1,2,5,9,11,12,13,0,1,2,5,9,11,12,13,0,1,2,5,9,11,12,13,0,1,2,5,12,13,0,1,2,5,9,12,0,1,2,9,12,13,0,1,2,5,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Description,Stream number 0,Stream number 0,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 0,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 0,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 0,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 0,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX Totals:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxPercent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxBpsL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxBpsL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxPps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxBytes,64440765043,322200252660,141768220,793902340,3222002458290,64440765043,322200252660,793902340,3222002458290,64440765043,793902340,3222002458290,64440765043,322200252660,793902340,3222002458290,64440765043,322200252660,3222002458290,322200252660,64441356083,32222150083,32222150083,64440732194,32222119355,793902340,32221239853,3222002458290,64440765043,322200252660,793902340,3222002458290,64440765043,322200252660,793902340,3222002458290,64440765043,322200252660,793902340,3222002458290,64440765043,322200252660,793902340,3222002458290,64440765043,322200252660,5155202360,5155186520,793902340,5155241080,5155202360,3222002458290,64440765043,322200252660,5155202360,5155186520,793902340,5155241080,5155202360,3222002458290,64440765043,322200252660,5155202360,5155186520,793902340,5155241080,5155202360,3222002458290,64440765043,322200252660,5155202360,5155186520,793902340,5155241080,5155202360,3222002458290,64440765043,322200252660,5155202360,5155241080,5155202360,3222002458290,64440765043,322200252660,5155202360,5155186520,5155241080,3222002458290,64440765043,322200252660,5155186520,5155241080,5155202360,3222002458290,64440765043,322200252660,5155202360,5155186520,5155202360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxPackets,81466565,2929093206,1288802,7217294,29290931439,81466565,2929093206,7217294,29290931439,81466565,7217294,29290931439,81466565,2929093206,7217294,29290931439,81466565,2929093206,29290931439,2929093206,81466480,40733300,40733300,81466522,40733260,7217294,40733318,29290931439,81466565,2929093206,7217294,29290931439,81466565,2929093206,7217294,29290931439,81466565,2929093206,7217294,29290931439,81466565,2929093206,7217294,29290931439,81466565,2929093206,46865476,46865332,7217294,46865828,46865476,29290931439,81466565,2929093206,46865476,46865332,7217294,46865828,46865476,29290931439,81466565,2929093206,46865476,46865332,7217294,46865828,46865476,29290931439,81466565,2929093206,46865476,46865332,7217294,46865828,46865476,29290931439,81466565,2929093206,46865476,46865828,46865476,29290931439,81466565,2929093206,46865476,46865332,46865828,29290931439,81466565,2929093206,46865332,46865828,46865476,29290931439,81466565,2929093206,46865476,46865332,46865476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX Totals:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxPercent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxBpsL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxBpsL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxPps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxBytes,64440765043,322200252660,141768220,793902340,3222002458290,64440765043,322200252660,793902340,3222002458290,64440765043,793902340,3222002449380,64392631284,322200250680,793902340,3222002440360,64375434927,322200246940,3222002458290,322200252660,64441356083,32222150083,32222150083,64440732194,32222119355,793902340,32221239853,3222002458290,64437059361,322200252660,793902340,3222002457410,64429632081,322200252220,793902340,3222002458070,64434512485,322200252660,793902340,3222002458290,64436340301,322200252660,793902340,3222002453450,64414025124,322200251120,5155202360,5155186520,793902340,5155241080,5155202140,3222002449710,64414002081,322200249800,5155202360,5155186520,793902340,5155241080,5155202140,3222002437500,64413731115,322200245620,5155202360,5155186520,793902230,5155240860,5155202140,3222002398340,64406623688,322200236160,5155202360,5155186520,793902010,5155240860,5155202140,3222002373480,64399243981,322200229450,5155202360,5155241080,5155202250,3222002395920,64409036467,322200232090,5155202360,5155186190,5155241080,3222002389210,64401904316,322200233190,5155186300,5155240860,5155202360,3222002389650,64398163027,322200232090,5155202360,5155186300,5155202360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
