Global Stream Statistics Counters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxPackets,81466565,2929093206,1288802,7217294,29290931439,81466565,2929093206,7217294,29290931439,81466565,7217294,29290931358,81428218,2929093188,7217294,29290931276,81413946,2929093154,29290931439,2929093206,81466480,40733300,40733300,81466522,40733260,7217294,40733318,29290931439,81463708,2929093206,7217294,29290931431,81458008,2929093202,7217294,29290931437,81461752,2929093206,7217294,29290931439,81463205,2929093206,7217294,29290931395,81445930,2929093192,46865476,46865332,7217294,46865828,46865474,29290931361,81445907,2929093180,46865476,46865332,7217294,46865828,46865474,29290931250,81445739,2929093142,46865476,46865332,7217293,46865826,46865474,29290930894,81440098,2929093056,46865476,46865332,7217291,46865826,46865474,29290930668,81434633,2929092995,46865476,46865828,46865475,29290930872,81442073,2929093019,46865476,46865329,46865828,29290930811,81436188,2929093029,46865330,46865826,46865476,29290930815,81433371,2929093019,46865476,46865330,46865476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX Errors:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxRxDiff,0,0,0,0,0,0,0,0,0,0,0,81,38347,18,0,163,52619,52,0,0,0,0,0,0,0,0,0,0,2857,0,0,8,8557,4,0,2,4813,0,0,0,3360,0,0,44,20635,14,0,0,0,0,2,78,20658,26,0,0,0,0,2,189,20826,64,0,0,1,2,2,545,26467,150,0,0,3,2,2,771,31932,211,0,0,1,567,24492,187,0,3,0,628,30377,177,2,2,0,624,33194,187,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  LostPackets,0,0,0,0,0,0,0,0,0,0,0,81,38347,18,0,163,52619,52,0,0,0,0,0,0,0,0,0,0,2857,0,0,8,8557,4,0,2,4813,0,0,0,3360,0,0,44,20635,14,0,0,0,0,2,78,20658,26,0,0,0,0,2,189,20826,64,0,0,1,2,2,545,26467,150,0,0,3,2,2,771,31932,211,0,0,1,567,24492,187,0,3,0,628,30377,177,2,2,0,624,33194,187,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  MisorderPackets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  PayloadErrors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  BitErrorRate,0,0,0,0,0,0,0,0,0,0,0,3,"14,2455711649",7,"443980,63011138",6,"98,3234790325",0,6,"32,3707190527",1,"217212,5244025",2,"17,3789628443",0,0,0,0,0,0,0,0,0,0,5,"5422,299456475",0,0,3,"1,0365995439",1,"660144,51030123",1,"55,1829945988",0,7,"0,7591498844",9,"33699,933153145",0,0,0,6,"51806,105123388",0,0,1,"70,7012977011",4,"4368,60611425",5,"43,1404829502",0,0,0,0,4,"849,4703643183",3,"0,2606846276",4,"8833,35389229",1,"8,6894724686",0,0,0,0,4,"849,4703643183",7,"33,2396687549",4,"41451,96208605",2,"482,9279644421",0,0,1,"5745,0118259524",4,"849,4339409003",4,"849,4703643183",2,"114,3683826896",5,"136699,93947595",5,"81,9362587521",0,0,4,"7235,0485672659",4,"849,4339409003",4,"849,4703643183",2,"991,1523589571",6,"19805,41280541",8,"185,9035435892",0,0,2,"424,7351304209",2,"203,5986096692",4,"753215,02685196",7,"293,6012018253",0,7,"274,2280526632",0,2,"436,3731157644",5,"895982,48736357",6,"866,8479165727",4,"849,4852649651",4,"849,4339409003",0,2,"420,8548153334",6,"443118,56886408",7,"254,8054507517",0,4,"849,4852649651",0
RX Latency:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  AggrMinLatency,2046,2559,9968,9920,2559,2046,2559,9920,2559,2046,9944,10088,8492,10064,2439,10112,8540,10088,2559,2559,9126,4932,4908,6921,7153,9920,9302,4555,3681,4555,6913,4555,3657,4579,6913,4555,3681,4579,6913,4555,3697,4555,6937,7057,5798,7081,4740,4908,4411,4788,4932,7057,5798,7081,4764,4908,4411,4788,4956,7161,5927,7137,4868,5037,4539,4892,5061,7113,5927,7137,4868,5037,4539,4892,5061,9735,8164,9735,2415,2463,2607,9735,8115,9735,2463,2583,2487,9639,8091,9663,2583,2463,2631,9687,8140,9687,2463,2631,2655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  AggrAvgLatency,2712,2831,10361,11161,3162,3514,3048,12903,3127,3505,12743,11225,11726,11085,4930,11245,11733,11072,3244,3116,11763,6754,6745,9270,9247,12949,11903,5344,5740,5266,9703,5350,5706,5248,9708,5364,5694,5236,9736,5358,5684,5213,9743,8005,8532,7893,7478,7631,7084,7490,7684,8017,8492,7880,7524,7679,7102,7533,7736,8132,8529,8012,7607,7751,7184,7623,7809,8133,8489,8013,7597,7742,7173,7612,7801,10814,11296,10630,4900,4938,5100,10832,11327,10667,4904,5066,4926,10806,11312,10653,5065,4926,5121,10839,11343,10684,4946,5104,5149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  AggrMaxLatency,21626,15596,30029,33108,19277,33364,18868,38352,16005,30799,35874,32555,41383,30799,28898,27816,27118,27455,19325,18940,50852,36764,36540,46306,44534,45183,56344,27527,35994,27142,35417,27527,35898,27166,35513,27527,35481,27166,35634,27551,35361,27142,35104,30005,50555,30558,44357,40893,35104,45247,41038,31905,50772,31496,44381,40917,35128,45271,40966,32009,50756,31600,44461,41046,35353,45351,41070,28690,50756,30686,44461,41142,35329,45351,41166,34776,52447,34198,34238,34046,34238,34800,53025,34222,34527,33974,34359,34776,53442,33765,38496,34094,39290,34391,53490,34343,34527,38520,39314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  AggrLatencyRange,19580,13037,20061,23188,16718,31318,16309,28432,13446,28753,25930,22467,32891,20735,26459,17704,18578,17367,16766,16381,41726,31832,31632,39385,37381,35263,47042,22972,32313,22587,28504,22972,32241,22587,28600,22972,31800,22587,28721,22996,31664,22587,28167,22948,44757,23477,39617,35985,30693,40459,36106,24848,44974,24415,39617,36009,30717,40483,36010,24848,44829,24463,39593,36009,30814,40459,36009,21577,44829,23549,39593,36105,30790,40459,36105,25041,44283,24463,31823,31583,31631,25065,44910,24487,32064,31391,31872,25137,45351,24102,35913,31631,36659,24704,45350,24656,32064,35889,36659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CurrMinLatency,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CurrAvgLatency,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CurrMaxLatency,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CurrLatencyRange,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX Jitter:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  AggrMinJitter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  AggrAvgJitter,0,71,0,0,132,0,181,0,113,0,0,178,0,286,0,179,0,263,134,195,0,0,0,0,0,0,0,144,0,218,0,146,0,218,0,145,0,220,0,145,0,215,0,162,0,244,0,0,0,0,0,150,0,243,0,0,0,0,0,148,0,239,0,0,0,0,0,148,0,234,0,0,0,0,0,177,0,247,0,0,0,173,0,256,0,0,0,187,0,257,0,0,0,190,0,266,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  AggrMaxJitter,18850,12941,19700,22755,16549,30653,16188,27566,13253,28071,25521,21913,30476,20013,26387,17319,17703,17126,16525,16260,39986,30925,30661,37901,36185,34806,45077,22731,31214,22057,27878,22731,31118,22081,27782,22731,30749,22081,27373,22755,30653,22057,27325,22514,42848,22923,37139,35648,30476,40290,35792,24294,43257,24342,37163,35576,30380,40218,35624,24270,43137,24222,37139,35888,30500,40170,35888,21071,43137,22851,37115,35985,30452,40170,35985,24631,42014,24150,31462,31511,31559,24631,42447,24150,31944,31102,31607,24607,42920,23837,35528,31511,36562,24150,42944,24246,31920,35504,36514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  AggrJitterRange,18850,12941,19700,22755,16549,30653,16188,27566,13253,28071,25521,21913,30476,20013,26387,17319,17703,17126,16525,16260,39986,30925,30661,37901,36185,34806,45077,22731,31214,22057,27878,22731,31118,22081,27782,22731,30749,22081,27373,22755,30653,22057,27325,22514,42848,22923,37139,35648,30476,40290,35792,24294,43257,24342,37163,35576,30380,40218,35624,24270,43137,24222,37139,35888,30500,40170,35888,21071,43137,22851,37115,35985,30452,40170,35985,24631,42014,24150,31462,31511,31559,24631,42447,24150,31944,31102,31607,24607,42920,23837,35528,31511,36562,24150,42944,24246,31920,35504,36514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CurrMinJitter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CurrAvgJitter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CurrMaxJitter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  CurrJitterRange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
