Global Stream Statistics Counters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxPortName,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/4/4,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/0,Port 0/4/1,Port 0/4/2,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/2/0,Port 0/2/3,Port 0/4/3,,,,,,,,,,,,,,,,,,,,,,,
  StreamId,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
  RxPortName,Port 0/0/0,Port 0/0/0,Port 0/0/0,Port 0/0/0,Port 0/0/0,Port 0/0/0,Port 0/0/0,Port 0/0/1,Port 0/0/1,Port 0/0/1,Port 0/0/1,Port 0/0/1,Port 0/0/1,Port 0/0/1,Port 0/0/2,Port 0/0/2,Port 0/0/2,Port 0/0/2,Port 0/0/2,Port 0/0/2,Port 0/0/3,Port 0/0/3,Port 0/0/3,Port 0/0/3,Port 0/0/3,Port 0/0/3,Port 0/0/3,Port 0/0/4,Port 0/0/4,Port 0/0/4,Port 0/0/4,Port 0/0/4,Port 0/0/4,Port 0/0/4,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/2/0,Port 0/2/0,Port 0/2/0,Port 0/2/0,Port 0/2/0,Port 0/2/0,Port 0/2/1,Port 0/2/1,Port 0/2/1,Port 0/2/1,Port 0/2/1,Port 0/2/1,Port 0/2/1,Port 0/2/2,Port 0/2/2,Port 0/2/2,Port 0/2/2,Port 0/2/2,Port 0/2/2,Port 0/2/2,Port 0/2/3,Port 0/2/3,Port 0/2/3,Port 0/2/3,Port 0/2/3,Port 0/2/3,Port 0/2/4,Port 0/2/4,Port 0/2/4,Port 0/2/4,Port 0/2/4,Port 0/2/4,Port 0/2/4,Port 0/2/5,Port 0/2/5,Port 0/2/5,Port 0/2/5,Port 0/2/5,Port 0/2/5,Port 0/2/5,Port 0/4/0,Port 0/4/0,Port 0/4/0,Port 0/4/0,Port 0/4/0,Port 0/4/0,Port 0/4/0,Port 0/4/1,Port 0/4/1,Port 0/4/1,Port 0/4/1,Port 0/4/1,Port 0/4/1,Port 0/4/1,Port 0/4/2,Port 0/4/2,Port 0/4/2,Port 0/4/2,Port 0/4/2,Port 0/4/2,Port 0/4/2,Port 0/4/3,Port 0/4/3,Port 0/4/3,Port 0/4/3,Port 0/4/3,Port 0/4/3,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/5,Port 0/4/5,Port 0/4/5,Port 0/4/5,Port 0/4/5,Port 0/4/5,,,,,,,,,,,,,,,,,,,,,,,
  TidValueString,1,2,4,5,6,7,11,0,1,2,4,6,7,11,0,1,4,6,7,11,0,1,2,4,6,7,11,0,1,2,4,6,7,11,0,2,4,6,7,8,9,10,11,0,1,2,4,7,11,0,1,2,4,6,7,11,0,1,2,4,6,7,11,0,1,2,4,6,11,0,1,2,4,6,7,11,0,1,2,4,6,7,11,0,1,2,4,6,7,11,0,1,2,4,6,7,11,0,1,2,4,6,7,11,0,1,2,4,6,7,0,1,2,4,6,7,11,0,1,2,6,7,11,,,,,,,,,,,,,,,,,,,,,,,
  Description,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,,,,,,,,,,,,,,,,,,,,,,,
TX Totals:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxPercent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
  TxBpsL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
  TxBpsL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
  TxPps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
  TxBytes,6368735008,63678139800,25537884527,22414920,6368736874,6368737860,156904440,636781322760,6368735008,63678139800,25537884527,6368736874,6368737860,156904440,636781322760,6368735008,25537884527,6368736874,6368737860,156904440,636781322760,6368735008,63678139800,25537884527,6368736874,6368737860,156904440,636781322760,6368735008,63678139800,25537884527,6368736874,6368737860,156904440,636781322760,63678139800,25537884527,6368736874,6368737860,6368732305,6368732719,6368733982,156904440,636781322760,6368735008,63678139800,25537884527,6368737860,156904440,636781322760,6368735008,63678139800,25537884527,6368736874,6368737860,156904440,636781322760,6368735008,63678139800,25537884527,6368736874,6368737860,156904440,636781322760,6368735008,63678139800,25537884527,6368736874,156904440,636781322760,6368735008,63678139800,25537884527,6368736874,6368737860,156904440,636781322760,6368735008,63678139800,25537884527,6368736874,6368737860,156904440,636781322760,6368735008,63678139800,25537884527,6368736874,6368737860,156904440,636781322760,6368735008,63678139800,25537884527,6368736874,6368737860,156904440,636781322760,6368735008,63678139800,25537884527,6368736874,6368737860,156904440,636781322760,6368735008,63678139800,25537884527,6368736874,6368737860,636781322760,6368735008,63678139800,25537884527,6368736874,6368737860,156904440,636781322760,6368735008,63678139800,6368736874,6368737860,156904440,,,,,,,,,,,,,,,,,,,,,,,
  TxPackets,8050334,578892180,32283738,203772,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,578892180,32283738,8050337,8050338,8050330,8050331,8050332,1426404,5788921116,8050334,578892180,32283738,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,8050337,8050338,1426404,,,,,,,,,,,,,,,,,,,,,,,
RX Totals:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxPercent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
  RxBpsL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
  RxBpsL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
  RxPps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
